Title,Link
Unity game projects with multiplayer integration,https://www.upwork.com/jobs/Deploy-Flutter-Application-with-Laravel-Backend-for-Local-Testing_~021898384758533204970/?referrer_url_path=/nx/search/jobs/
Cross-Platform React Native App Development with Amazon Amplify,https://www.upwork.com/jobs/Hybrid-mobile-apps-for-existing-web-app_~021898384734048453782/?referrer_url_path=/nx/search/jobs/
Deploy Flutter Application with Laravel Backend for Local Testing,https://www.upwork.com/jobs/Create-simple-Web-App-for-taxi-business-for-customers-book-trips-online-using-escrow-payment_~021898377891861965802/?referrer_url_path=/nx/search/jobs/
Hybrid mobile apps for existing web app,https://www.upwork.com/jobs/Mobile-App-span-class-highlight-Developer-span_~021898376568641564624/?referrer_url_path=/nx/search/jobs/
Create simple Web App for taxi business for customers to book trips online using escrow payment,https://www.upwork.com/jobs/Design-for-Mobile-App_~021898369758677315536/?referrer_url_path=/nx/search/jobs/
Mobile App Developer,https://www.upwork.com/jobs/want-hosting-span-class-highlight-android-span-application_~021898370287668505578/?referrer_url_path=/nx/search/jobs/
UI Design for Mobile App,https://www.upwork.com/jobs/Flutter-gradle-issue_~021898366941113035754/?referrer_url_path=/nx/search/jobs/
I want to hosting my 3 android application,https://www.upwork.com/jobs/Mobile-Software-Designer-and-span-class-highlight-Developer-span-Needed_~021898318583400447098/?referrer_url_path=/nx/search/jobs/
Flutter gradle issue,https://www.upwork.com/jobs/Need-Help-Updating-Google-API-Key-amp-Old-Libraries-span-class-highlight-Android-span-App_~021898359923316829162/?referrer_url_path=/nx/search/jobs/
Mobile Software Designer and Developer Needed,https://www.upwork.com/jobs/span-class-highlight-Develop-span-Bots-for-Poker-Game-Unity_~021898357904128031866/?referrer_url_path=/nx/search/jobs/
Need Help Updating Google API Key & Old Libraries in Android App,https://www.upwork.com/jobs/Website-and-Mobile-App-with-Audio-Capability-Needed_~021898357209421266042/?referrer_url_path=/nx/search/jobs/
"Develop AI Bots for a Poker Game (Unity, C#)",https://www.upwork.com/jobs/Reverse-Engineering-span-class-highlight-Android-span-App-URGENT_~021898356410852943907/?referrer_url_path=/nx/search/jobs/
Website and Mobile App with Audio Capability Needed,https://www.upwork.com/jobs/React-span-class-highlight-Developer-span-Needed-Build-OTA-Application_~021898356392924494970/?referrer_url_path=/nx/search/jobs/
Reverse Engineering an Android App | 🚀 URGENT,https://www.upwork.com/jobs/Encrypted-Communication-Application-span-class-highlight-Development-span_~021898310630117312751/?referrer_url_path=/nx/search/jobs/
React Developer Needed to Build OTA Application,https://www.upwork.com/jobs/Convert-Web-App-dev-SwiftUI-Front-End-Only_~021898354407879845923/?referrer_url_path=/nx/search/jobs/
Encrypted Communication Application Development,https://www.upwork.com/jobs/code-job-matching-web-app-Tinder-style-swiping-chat_~021898303979440146671/?referrer_url_path=/nx/search/jobs/
Convert Web App UI (v0.dev) to SwiftUI – Front-End Only,https://www.upwork.com/jobs/Unity-span-class-highlight-Developer-span-Needed-Fix-Vimeo-SDK-Video-Playback-Bug_~021898345912995097578/?referrer_url_path=/nx/search/jobs/
No-code job-matching web app (Tinder-style swiping & chat),https://www.upwork.com/jobs/Flutter-span-class-highlight-Developer-span-Needed-for-Mobile-App-span-class-highlight-Development-span_~021898341088080310224/?referrer_url_path=/nx/search/jobs/
Unity Developer Needed to Fix Vimeo SDK Video Playback Bug,https://www.upwork.com/jobs/span-class-highlight-Developer-span-Needed-for-Customizing-amp-Integrating-Sudoku-Game_~021898344682196185040/?referrer_url_path=/nx/search/jobs/
Flutter Developer Needed for Mobile App Development,https://www.upwork.com/jobs/Experienced-Full-Stack-App-span-class-highlight-Developer-span-with_~021898344064891105232/?referrer_url_path=/nx/search/jobs/
Developer Needed for Customizing & Integrating a Sudoku Game,https://www.upwork.com/jobs/Flutter-App-Code-Review-for-Subscription-Management_~021898340830404619242/?referrer_url_path=/nx/search/jobs/
Experienced Full-Stack App Developer with AI,https://www.upwork.com/jobs/App-span-class-highlight-Development-span-Using-Whisper-and-ChatGPT_~021898336819356774352/?referrer_url_path=/nx/search/jobs/
Flutter App Code Review for Subscription Management,https://www.upwork.com/jobs/Expo-Chess-connect-managed-Expo-app-native-chess-code_~021898335609095404666/?referrer_url_path=/nx/search/jobs/
App Development Using Whisper and ChatGPT,https://www.upwork.com/jobs/Backend-API-Setup-for-Completed-Dating-App-250-Fixed-Price_~021898334807276496931/?referrer_url_path=/nx/search/jobs/
Expo Chess AI - connect managed Expo app to C++ native chess AI code,https://www.upwork.com/jobs/Looking-for-span-class-highlight-Developer-span-Install-amp-Customize-Codecanyon-span-class-highlight-Android-span-amp-iOS-Apps_~021898333601672670186/?referrer_url_path=/nx/search/jobs/
Backend & API Setup for a Completed Dating App – $250 Fixed Price,https://www.upwork.com/jobs/span-class-highlight-Android-span-applications-want-hosting-who-can-this_~021898279032987725776/?referrer_url_path=/nx/search/jobs/
Looking for a Developer to Install & Customize Codecanyon Android & iOS Apps,https://www.upwork.com/jobs/Mobile-App-span-class-highlight-Development-span-with-Integration_~021898323480428521507/?referrer_url_path=/nx/search/jobs/
Android applications want to hosting who can do this,https://www.upwork.com/jobs/Affordable-Mobile-App-span-class-highlight-Developer-span-Needed-React-Native-Flutter-350-Budget_~021898319837120375786/?referrer_url_path=/nx/search/jobs/
Mobile App Development with AI Integration,https://www.upwork.com/jobs/searching-for-someone-who-can-make-App-BONNETJE-the-appstore-and-google-playstore_~021898320312635633616/?referrer_url_path=/nx/search/jobs/
Affordable Mobile App Developer Needed – React Native or Flutter (€350 Budget),https://www.upwork.com/jobs/Work-Existing-Java-Kotlin-span-class-highlight-Android-span-App-using-Team-Viewer_~021898320169128897514/?referrer_url_path=/nx/search/jobs/
Im searching for someone who can make a App as BONNETJE on the appstore and google playstore,https://www.upwork.com/jobs/span-class-highlight-Development-span-Integrated-Vehicle-Tracking-System_~021898318281671125994/?referrer_url_path=/nx/search/jobs/
Work on Existing Java/Kotlin Android App using Team Viewer,https://www.upwork.com/jobs/Mobile-App-span-class-highlight-Developer-span-Needed-for-Wasila-Delivery-Service_~021898317329358597098/?referrer_url_path=/nx/search/jobs/
Development of Integrated Vehicle Tracking System,https://www.upwork.com/jobs/Senior-Flutter-flutterflow-with-experience-API-integration_~021898315252323952675/?referrer_url_path=/nx/search/jobs/
Mobile App Developer Needed for 'Wasila' Delivery Service,https://www.upwork.com/jobs/span-class-highlight-Development-span-Simple-English-Dictionary-App_~021898263759803858042/?referrer_url_path=/nx/search/jobs/
"Senior Flutter, flutterflow with experience in API integration",https://www.upwork.com/jobs/React-Native-amp-Flutter-span-class-highlight-Developer-span-for-Bug-Fixes-and-Enhancements_~021898307454525614115/?referrer_url_path=/nx/search/jobs/
Development of a Simple English Dictionary App,https://www.upwork.com/jobs/Design-and-span-class-highlight-development-span-website-and-application-for-span-class-highlight-Android-span-and-iOS_~021898304027239526352/?referrer_url_path=/nx/search/jobs/
React Native & Flutter Developer for Bug Fixes and Enhancements,https://www.upwork.com/jobs/React-Native-span-class-highlight-Developer-span-Needed-for-Therapy-App_~021898250713453965264/?referrer_url_path=/nx/search/jobs/
Design and development of a website and an application for Android and iOS,https://www.upwork.com/jobs/Driven-Running-Form-Analysis-App-span-class-highlight-Development-span_~021898284914244988880/?referrer_url_path=/nx/search/jobs/
React Native Developer Needed for AI Therapy App,https://www.upwork.com/jobs/Debug-and-Stabilize-Multi-Service-Application-PHP-Java-Swift_~021898280107506871274/?referrer_url_path=/nx/search/jobs/
AI-Driven Running Form Analysis App Development,https://www.upwork.com/jobs/span-class-highlight-Android-span-Full-Stack-span-class-highlight-Developer-span_~021898272391970897018/?referrer_url_path=/nx/search/jobs/
"Debug and Stabilize Multi-Service Application (PHP, Java, Swift)",https://www.upwork.com/jobs/Mobile-App-span-class-highlight-Developer-span-for-Homeowner-Service-Booking-Platform_~021898272053909994618/?referrer_url_path=/nx/search/jobs/
Android Full Stack Developer,https://www.upwork.com/jobs/Glide-App-span-class-highlight-Developer-span-Needed-for-Construction-Punch-List-Tracking-App_~021898270966807111715/?referrer_url_path=/nx/search/jobs/
Mobile App Developer for Homeowner Service Booking Platform,https://www.upwork.com/jobs/Full-Stack-Mobile-span-class-highlight-Developer-span-for-Service-Provider-Platform_~021898270816232943568/?referrer_url_path=/nx/search/jobs/
Glide App Developer Needed for Construction Punch List Tracking App,https://www.upwork.com/jobs/Low-Latency-Backend-span-class-highlight-Development-span-for-VAPI-Phone-Ordering-Agent_~021898270380763525072/?referrer_url_path=/nx/search/jobs/
Full-Stack Mobile Developer for Service Provider Platform,https://www.upwork.com/jobs/app-does-not-appear-Play-Store-search_~021898267333256390691/?referrer_url_path=/nx/search/jobs/
Low Latency Backend Development for VAPI Phone Ordering Agent,https://www.upwork.com/jobs/React-Native-span-class-highlight-Developer-span-Needed-for-Mobile-App-span-class-highlight-Development-span_~021898259112561683434/?referrer_url_path=/nx/search/jobs/
My app does not appear in Play Store search.,https://www.upwork.com/jobs/FlutterFlow-amp-Firebase-span-class-highlight-Developer-span-Needed-for-Foodie-Marketplace-App_~021898256086850971683/?referrer_url_path=/nx/search/jobs/
React Native Developer Needed for Mobile App Development,https://www.upwork.com/jobs/Kotlin-span-class-highlight-Developer-span-for-Call-and-System-Settings-Integration_~021898250989409808336/?referrer_url_path=/nx/search/jobs/
FlutterFlow & Firebase Developer Needed for Foodie Marketplace App,https://www.upwork.com/jobs/Mobile-App-Tester-Manual-And-Automated_~021898246715331521514/?referrer_url_path=/nx/search/jobs/
Kotlin Developer for Call and System Settings Integration,https://www.upwork.com/jobs/App-span-class-highlight-development-span_~021898243596619033578/?referrer_url_path=/nx/search/jobs/
Mobile App Tester Manual And Automated,https://www.upwork.com/jobs/Vendor-for-span-class-highlight-Development-span-GPS-Geolocation-Tracking-Device_~021898240562586822691/?referrer_url_path=/nx/search/jobs/
App development,https://www.upwork.com/jobs/Part-Time-Web-App-Updates-Data-Entry-Assistant-Hours-Week_~021898232899376656336/?referrer_url_path=/nx/search/jobs/
Vendor for Development of GPS/Geolocation Tracking Device,https://www.upwork.com/jobs/Flutter-span-class-highlight-Developer-span-Needed-for-Dynamic-Homescreen-Widget-for-Streak-Display_~021898226549255781498/?referrer_url_path=/nx/search/jobs/
Part-Time Web & App Updates + Data Entry Assistant (5 Hours/Week),https://www.upwork.com/jobs/Flutter-App-span-class-highlight-Developer-span-for-Integrated-iOS-and-span-class-highlight-Android-span-Apps_~021898223682524494970/?referrer_url_path=/nx/search/jobs/
Flutter Developer Needed for Dynamic Homescreen Widget for Streak Display,https://www.upwork.com/jobs/IPTV-App-span-class-highlight-Development-span-for-Smart-M3U-Playlist-Support_~021898177507446589679/?referrer_url_path=/nx/search/jobs/
Flutter App Developer for AI-Integrated iOS and Android Apps,https://www.upwork.com/jobs/span-class-highlight-Develop-span-Gaming-Mobile-App-using-Kotlin_~021898220742238219242/?referrer_url_path=/nx/search/jobs/
IPTV App Development for Smart TV (M3U Playlist Support),https://www.upwork.com/jobs/Automated-Airbnb-Management-System-span-class-highlight-Development-span_~021898219915913673850/?referrer_url_path=/nx/search/jobs/
Develop Gaming Mobile App using Kotlin,https://www.upwork.com/jobs/React-Native-endpoint-Integration_~021898215208929306659/?referrer_url_path=/nx/search/jobs/
Automated Airbnb Management System Development,https://www.upwork.com/jobs/Application-mobile-NoVa_~021898211388041342928/?referrer_url_path=/nx/search/jobs/
React Native endpoint Integration,https://www.upwork.com/jobs/Mobile-and-Web-Application-span-class-highlight-Development-span-for-Hotel-Booking_~021898160427584662506/?referrer_url_path=/nx/search/jobs/
Application mobile : NoVa,https://www.upwork.com/jobs/React-Native-span-class-highlight-Developer-span-for-Feature-Enhancement_~021898159887538662378/?referrer_url_path=/nx/search/jobs/
Mobile and Web Application Development for Hotel Booking,https://www.upwork.com/jobs/App-span-class-highlight-Developer-span-Needed-for-Community-Based-Clothing-Exchange-App-HandMeDown_~021898157107024968826/?referrer_url_path=/nx/search/jobs/
React Native Developer for Feature Enhancement,https://www.upwork.com/jobs/Chatroom-Connectivity-Issue_~021898200116435200035/?referrer_url_path=/nx/search/jobs/
App Developer Needed for Community-Based Clothing Exchange App - HandMeDown,https://www.upwork.com/jobs/Review-existing-app-code-fix-bugs-issues-crashes-etc-iOS-and-span-class-highlight-Android-span-App_~021898198012872829930/?referrer_url_path=/nx/search/jobs/
Chatroom Connectivity Issue,https://www.upwork.com/jobs/App-onboarding-Google-Play-Store_~021898179156941615056/?referrer_url_path=/nx/search/jobs/
Review existing app code to fix bugs/issues/crashes etc.- iOS and Android App,https://www.upwork.com/jobs/App-span-class-highlight-Development-span-Initial-Project-for-Advanced-App-Creation_~021898133712902137891/?referrer_url_path=/nx/search/jobs/
App onboarding to Google Play Store,https://www.upwork.com/jobs/App-span-class-highlight-Development-span-for-Recycling-Marketplace_~021898159540222658799/?referrer_url_path=/nx/search/jobs/
App Development - Initial Project for Advanced App Creation,https://www.upwork.com/jobs/Social-Media-Web-amp-Mobile-App-MVP-span-class-highlight-Development-span_~021898169652058729450/?referrer_url_path=/nx/search/jobs/
App Development for Recycling Marketplace,https://www.upwork.com/jobs/App-span-class-highlight-Developer-span-Optimize-Backend-App-Adalo-iOS-and-span-class-highlight-Android-span_~021898166530081697744/?referrer_url_path=/nx/search/jobs/
Social Media Web & Mobile App MVP Development,https://www.upwork.com/jobs/Mobile-App-span-class-highlight-Developer-span-for-span-class-highlight-Android-span-amp-iOS-Bluetooth-Integration_~021898165382016806864/?referrer_url_path=/nx/search/jobs/
App Developer to Optimize Backend of My App (Adalo; iOS and Android),https://www.upwork.com/jobs/Have-Unity-project-wish-get-span-class-highlight-developed-span_~021898164828189699050/?referrer_url_path=/nx/search/jobs/
Mobile App Developer for Android & iOS - Bluetooth Integration,https://www.upwork.com/jobs/Flutter-span-class-highlight-developer-span-for-social-sports-app-years-experience_~021898162831256398826/?referrer_url_path=/nx/search/jobs/
Have a Unity project I wish to get developed,https://www.upwork.com/jobs/Basketball-Simulator-Game_~021898158830932290975/?referrer_url_path=/nx/search/jobs/
Flutter developer for social sports app (10+ years of experience),https://www.upwork.com/jobs/Expert-Flutterflow-span-class-highlight-Developer-span-with-FastAPI-and-Firebase-Experience-Needed_~021898112366575060118/?referrer_url_path=/nx/search/jobs/
Basketball GM Simulator Game,https://www.upwork.com/jobs/Flutter-span-class-highlight-Developer-span-Needed-for-Windows-Video-Monitoring-Application_~021898107319566941306/?referrer_url_path=/nx/search/jobs/
Expert Flutterflow Developer with FastAPI and Firebase Experience Needed,https://www.upwork.com/jobs/span-class-highlight-Develop-span-Mobile-App-for-Event-Production-Company_~021898149353155569699/?referrer_url_path=/nx/search/jobs/
Flutter Developer Needed for Windows Video Monitoring Application,https://www.upwork.com/jobs/Based-span-class-highlight-Android-span-App-span-class-highlight-Development-span-Needed-Within-One-Week_~021898144043754162415/?referrer_url_path=/nx/search/jobs/
