Job Title,Job URL
Seeking a Financial Analyst to Optimize Business Growth,https://www.upwork.com/jobs/Seeking-Financial-span-class-highlight-Analyst-span-Optimize-Business-Growth_~021898396978255707258/?referrer_url_path=/nx/search/jobs/
Financial Analyst Needed for Balance Sheet and Income Statement Preparation,https://www.upwork.com/jobs/Financial-span-class-highlight-Analyst-span-Needed-for-Balance-Sheet-and-Income-Statement-Preparation_~021898317222739389418/?referrer_url_path=/nx/search/jobs/
EMIR/MiFIR Regulatory Reporting Assistance -- Construct 3 EMIR/MIFIR (UK FCA) files,https://www.upwork.com/jobs/EMIR-MiFIR-Regulatory-Reporting-Assistance-Construct-EMIR-MIFIR-FCA-files_~021898298427583639504/?referrer_url_path=/nx/search/jobs/
Data & Operations Analyst,https://www.upwork.com/jobs/span-class-highlight-Data-span-amp-Operations-span-class-highlight-Analyst-span_~021898292843969620003/?referrer_url_path=/nx/search/jobs/
GIS analyst,https://www.upwork.com/jobs/GIS-span-class-highlight-analyst-span_~021898289043888252963/?referrer_url_path=/nx/search/jobs/
Market Research Analyst for Commercial Cleaning Industry (GTA),https://www.upwork.com/jobs/Market-Research-span-class-highlight-Analyst-span-for-Commercial-Cleaning-Industry-GTA_~021898202106835975290/?referrer_url_path=/nx/search/jobs/
Business Analytics Tutor,https://www.upwork.com/jobs/Business-Analytics-Tutor_~021898236249576976336/?referrer_url_path=/nx/search/jobs/
Data research job,https://www.upwork.com/jobs/span-class-highlight-Data-span-research-job_~021898214024471785424/?referrer_url_path=/nx/search/jobs/
Research Analyst Needed – Identify Best-Selling Products on an e-commerce Website,https://www.upwork.com/jobs/Research-span-class-highlight-Analyst-span-Needed-Identify-Best-Selling-Products-commerce-Website_~021898152328516480976/?referrer_url_path=/nx/search/jobs/
Excel Data Analyst Needed for Retention and Program Popularity Insights,https://www.upwork.com/jobs/Excel-span-class-highlight-Data-span-span-class-highlight-Analyst-span-Needed-for-Retention-and-Program-Popularity-Insights_~021898150560652274666/?referrer_url_path=/nx/search/jobs/
