Title,Link
Custom AI Customer Service Bot Development,https://www.upwork.com/jobs/Custom-Customer-Service-Bot-span-class-highlight-Development-span_~021898414743112003536/?referrer_url_path=/nx/search/jobs/
AI-Generated Advertising Platform Development,https://www.upwork.com/jobs/Generated-Advertising-Platform-span-class-highlight-Development-span_~021898414114890525674/?referrer_url_path=/nx/search/jobs/
AI Conversational Bot Development for E-commerce Platforms,https://www.upwork.com/jobs/Conversational-Bot-span-class-highlight-Development-span-for-commerce-Platforms_~021898413649933774800/?referrer_url_path=/nx/search/jobs/
WordPress Developer for Custom Filter Fix: Urgent,https://www.upwork.com/jobs/WordPress-span-class-highlight-Developer-span-for-Custom-Filter-Fix-Urgent_~021898413008506029206/?referrer_url_path=/nx/search/jobs/
Website Development for AI Tool Repository,https://www.upwork.com/jobs/Website-span-class-highlight-Development-span-for-Tool-Repository_~021898412444533603450/?referrer_url_path=/nx/search/jobs/
🚀 Backend Developer for Web App | Supabase & API Integration | No-Code Support (Lovable),https://www.upwork.com/jobs/Backend-span-class-highlight-Developer-span-for-Web-App-Supabase-amp-API-Integration-Code-Support-Lovable_~021898411689068149882/?referrer_url_path=/nx/search/jobs/
Automations Expert,https://www.upwork.com/jobs/Automations-Expert_~021898410484396932218/?referrer_url_path=/nx/search/jobs/
Expert N8N Developer: Build Automated Content Scraping & Republication System,https://www.upwork.com/jobs/Expert-N8N-span-class-highlight-Developer-span-Build-Automated-Content-Scraping-amp-Republication-System_~021898409873377895581/?referrer_url_path=/nx/search/jobs/
Experienced WordPress Plugin Developer Needed,https://www.upwork.com/jobs/Experienced-WordPress-Plugin-span-class-highlight-Developer-span-Needed_~021898409558206528634/?referrer_url_path=/nx/search/jobs/
Extension for Instagram AI Prompt Chatting,https://www.upwork.com/jobs/Extension-for-Instagram-Prompt-Chatting_~021898392096194047952/?referrer_url_path=/nx/search/jobs/
React & Next.js Developer with AWS/EC2 & build AI model Expertise,https://www.upwork.com/jobs/React-amp-Next-span-class-highlight-Developer-span-with-AWS-EC2-amp-build-model-Expertise_~021898405150839418832/?referrer_url_path=/nx/search/jobs/
Adaptive layout of the Mass Media website using Vue.js,https://www.upwork.com/jobs/Adaptive-layout-the-Mass-Media-website-using-Vue_~021898359759834922106/?referrer_url_path=/nx/search/jobs/
"React,Node Web &Flutter App Maintenance and enhancements",https://www.upwork.com/jobs/React-Node-Web-Flutter-App-Maintenance-and-enhancements_~021898403615815084067/?referrer_url_path=/nx/search/jobs/
Create Java email templates with JSON variable and hyperlink parameter replacement,https://www.upwork.com/jobs/Create-Java-email-templates-with-JSON-variable-and-hyperlink-parameter-replacement_~021898402833518667811/?referrer_url_path=/nx/search/jobs/
Fix Web Scraper and Schedule Cron Jobs,https://www.upwork.com/jobs/Fix-Web-Scraper-and-Schedule-Cron-Jobs_~021898402274104717264/?referrer_url_path=/nx/search/jobs/
Flask Expert Needed,https://www.upwork.com/jobs/Flask-Expert-Needed_~021898401456472145018/?referrer_url_path=/nx/search/jobs/
Custom Filters Development for The Event Calendar Plugin,https://www.upwork.com/jobs/Custom-Filters-span-class-highlight-Development-span-for-The-Event-Calendar-Plugin_~021898399922363376181/?referrer_url_path=/nx/search/jobs/
React Project - Crypto Related.,https://www.upwork.com/jobs/React-Project-Crypto-Related_~021898399666560446416/?referrer_url_path=/nx/search/jobs/
n8n Workflow Developer for Google Workspace Email Automation (Self-Hosted),https://www.upwork.com/jobs/n8n-Workflow-span-class-highlight-Developer-span-for-Google-Workspace-Email-Automation-Self-Hosted_~021898398921431133162/?referrer_url_path=/nx/search/jobs/
Blockchain Developer Needed for Innovative Project,https://www.upwork.com/jobs/Blockchain-span-class-highlight-Developer-span-Needed-for-Innovative-Project_~021898398338234133482/?referrer_url_path=/nx/search/jobs/
Expert Next.js SEO developer,https://www.upwork.com/jobs/Expert-Next-SEO-span-class-highlight-developer-span_~021898398180538165283/?referrer_url_path=/nx/search/jobs/
Angular Expert with UI/UX Design Expertise for Healthcare Startup,https://www.upwork.com/jobs/Angular-Expert-with-Design-Expertise-for-Healthcare-Startup_~021898397253943114874/?referrer_url_path=/nx/search/jobs/
Future Proof Front End Website,https://www.upwork.com/jobs/Future-Proof-Front-End-Website_~021898396648086406294/?referrer_url_path=/nx/search/jobs/
Web Designer Needed for Legacy Succession Planning Business,https://www.upwork.com/jobs/Web-Designer-Needed-for-Legacy-Succession-Planning-Business_~021898395974440464336/?referrer_url_path=/nx/search/jobs/
Application development,https://www.upwork.com/jobs/Application-span-class-highlight-development-span_~021898395729816072144/?referrer_url_path=/nx/search/jobs/
Tennis Court Booking Automation Script,https://www.upwork.com/jobs/Tennis-Court-Booking-Automation-Script_~021898395295604944848/?referrer_url_path=/nx/search/jobs/
Web developer needed,https://www.upwork.com/jobs/Web-span-class-highlight-developer-span-needed_~021898395172380487632/?referrer_url_path=/nx/search/jobs/
Local Video Streaming Website,https://www.upwork.com/jobs/Local-Video-Streaming-Website_~021898394593376446499/?referrer_url_path=/nx/search/jobs/
Author's Book site,https://www.upwork.com/jobs/Author-Book-site_~021898394350893350010/?referrer_url_path=/nx/search/jobs/
WordPress Developer,https://www.upwork.com/jobs/WordPress-span-class-highlight-Developer-span_~021898393967339807901/?referrer_url_path=/nx/search/jobs/
Roblox Arsenal Script Development,https://www.upwork.com/jobs/Roblox-Arsenal-Script-span-class-highlight-Development-span_~021898393043754430416/?referrer_url_path=/nx/search/jobs/
Senior Python Developer Needed for Exciting Projects,https://www.upwork.com/jobs/Senior-Python-span-class-highlight-Developer-span-Needed-for-Exciting-Projects_~021898391096826997738/?referrer_url_path=/nx/search/jobs/
"Teach django, java script and reactjs with projects",https://www.upwork.com/jobs/Teach-django-java-script-and-reactjs-with-projects_~021898391999855079376/?referrer_url_path=/nx/search/jobs/
Wix Debugging & Zapier Integration Fix for StrengthsBase.app,https://www.upwork.com/jobs/Wix-Debugging-Zapier-Integration-Fix-for-StrengthsBase-app_~021898391307694256080/?referrer_url_path=/nx/search/jobs/
Build a Peer-to-Peer Employee Recognition & Rewards Platform (Like Awardco/Bonusly),https://www.upwork.com/jobs/Build-Peer-Peer-Employee-Recognition-Rewards-Platform-Like-Awardco-Bonusly_~021898389423664606186/?referrer_url_path=/nx/search/jobs/
Nextjs front end developer,https://www.upwork.com/jobs/Nextjs-front-end-span-class-highlight-developer-span_~021898389290846400464/?referrer_url_path=/nx/search/jobs/
Front end developer - astrojs,https://www.upwork.com/jobs/Front-end-span-class-highlight-developer-span-astrojs_~021898388375805312122/?referrer_url_path=/nx/search/jobs/
Backend of a college admissions website.,https://www.upwork.com/jobs/Backend-college-admissions-website_~021898387488030538874/?referrer_url_path=/nx/search/jobs/
Fix Cloudflare Turnstile Registration & Login Issue in PHP,https://www.upwork.com/jobs/Fix-Cloudflare-Turnstile-Registration-Login-Issue-PHP_~021898387114070588538/?referrer_url_path=/nx/search/jobs/
Hardcore React Developer Needed for Figma to Code Conversion,https://www.upwork.com/jobs/Hardcore-React-span-class-highlight-Developer-span-Needed-for-Figma-Code-Conversion_~021898386386434862058/?referrer_url_path=/nx/search/jobs/
Wagtail + Django CMS Full Stack Developer,https://www.upwork.com/jobs/Wagtail-Django-CMS-Full-Stack-span-class-highlight-Developer-span_~021898386159831655581/?referrer_url_path=/nx/search/jobs/
Create MVP,https://www.upwork.com/jobs/Create-MVP_~021898385054613318634/?referrer_url_path=/nx/search/jobs/
Simple Slack App Development,https://www.upwork.com/jobs/Simple-Slack-App-span-class-highlight-Development-span_~021898383754595807184/?referrer_url_path=/nx/search/jobs/
(Desarrollador Front-End) Parte Responsiva Revisar y Optimizar,https://www.upwork.com/jobs/Desarrollador-Front-End-Parte-Responsiva-Revisar-Optimizar_~021898381574228815824/?referrer_url_path=/nx/search/jobs/
Social Media MVP Platform Development,https://www.upwork.com/jobs/Social-Media-MVP-Platform-span-class-highlight-Development-span_~021898380265688508451/?referrer_url_path=/nx/search/jobs/
Automated Bot Trading Development,https://www.upwork.com/jobs/Automated-Bot-Trading-span-class-highlight-Development-span_~021898380119245729744/?referrer_url_path=/nx/search/jobs/
🚀 FinTech Developer Needed | Custom Payment Gateway for Shopify with ACH & Direct Bank Integration,https://www.upwork.com/jobs/FinTech-span-class-highlight-Developer-span-Needed-Custom-Payment-Gateway-for-Shopify-with-ACH-amp-Direct-Bank-Integration_~021898377101308438563/?referrer_url_path=/nx/search/jobs/
Looking for wordpress work,https://www.upwork.com/jobs/Looking-for-wordpress-work_~021898376478258507728/?referrer_url_path=/nx/search/jobs/
E-commerce website,https://www.upwork.com/jobs/commerce-website_~021898371302207208570/?referrer_url_path=/nx/search/jobs/
Create a New Registration Page,https://www.upwork.com/jobs/Create-New-Registration-Page_~021898375099906730986/?referrer_url_path=/nx/search/jobs/
Webflow developer: Assist with bug fixes,https://www.upwork.com/jobs/Webflow-span-class-highlight-developer-span-Assist-with-bug-fixes_~021898375024090491882/?referrer_url_path=/nx/search/jobs/
Job offer for iOS version of multi screen menu.,https://www.upwork.com/jobs/Job-offer-for-iOS-version-multi-screen-menu_~021898374828810710992/?referrer_url_path=/nx/search/jobs/
SvelteKit Developer,https://www.upwork.com/jobs/SvelteKit-span-class-highlight-Developer-span_~021898367929221228579/?referrer_url_path=/nx/search/jobs/
Odoo Programmer for Long-Term Project,https://www.upwork.com/jobs/Odoo-Programmer-for-Long-Term-Project_~021898326337686220752/?referrer_url_path=/nx/search/jobs/
Experienced Software Developer Needed for Restaurant POS SAAS Development,https://www.upwork.com/jobs/Experienced-Software-span-class-highlight-Developer-span-Needed-for-Restaurant-POS-SAAS-span-class-highlight-Development-span_~021898326096371989626/?referrer_url_path=/nx/search/jobs/
LinkedIn Scraping Bot Expert,https://www.upwork.com/jobs/LinkedIn-Scraping-Bot-Expert_~021898370942607336605/?referrer_url_path=/nx/search/jobs/
Outlook Email Signature,https://www.upwork.com/jobs/Outlook-Email-Signature_~021898368151284459555/?referrer_url_path=/nx/search/jobs/
Blockchain Development Team Needed for Token Generation Event (TGE),https://www.upwork.com/jobs/Blockchain-span-class-highlight-Development-span-Team-Needed-for-Token-Generation-Event-TGE_~021898367998044089322/?referrer_url_path=/nx/search/jobs/
Node.js And React Developer,https://www.upwork.com/jobs/Node-And-React-span-class-highlight-Developer-span_~021898367500318616554/?referrer_url_path=/nx/search/jobs/
Senior Python Developer for Web Automation & Tracking Analysis,https://www.upwork.com/jobs/Senior-Python-span-class-highlight-Developer-span-for-Web-Automation-amp-Tracking-Analysis_~021898367278399465507/?referrer_url_path=/nx/search/jobs/
"WP Multisite Tourism Hub (booking, e-commerce, crowdfunding, AR map, AI chatbot) – fixed price",https://www.upwork.com/jobs/Multisite-Tourism-Hub-booking-commerce-crowdfunding-map-chatbot-fixed-price_~021898365550632775632/?referrer_url_path=/nx/search/jobs/
Mobile Software Designer and Developer Needed,https://www.upwork.com/jobs/Mobile-Software-Designer-and-span-class-highlight-Developer-span-Needed_~021898318583400447098/?referrer_url_path=/nx/search/jobs/
Full-Stack Developer for AI-Powered LegalTech MVP,https://www.upwork.com/jobs/Full-Stack-span-class-highlight-Developer-span-for-Powered-LegalTech-MVP_~021898363628064122013/?referrer_url_path=/nx/search/jobs/
"React Native and NodeJS expert to integrate Google Calendar, & implement Subscription/Premium plans",https://www.upwork.com/jobs/React-Native-and-NodeJS-expert-integrate-Google-Calendar-implement-Subscription-Premium-plans_~021898362567283060688/?referrer_url_path=/nx/search/jobs/
Low Latency Backend Development for VAPI Phone Ordering Agent,https://www.upwork.com/jobs/Low-Latency-Backend-span-class-highlight-Development-span-for-VAPI-Phone-Ordering-Agent_~021898360897024502762/?referrer_url_path=/nx/search/jobs/
React Front-End Developer for JointJS Diagram Application (POC Project),https://www.upwork.com/jobs/React-Front-End-span-class-highlight-Developer-span-for-JointJS-Diagram-Application-POC-Project_~021898360823628377066/?referrer_url_path=/nx/search/jobs/
Create email templates with JSON variable and hyperlink parameter replacement,https://www.upwork.com/jobs/Create-email-templates-with-JSON-variable-and-hyperlink-parameter-replacement_~021898359531113251990/?referrer_url_path=/nx/search/jobs/
Back End Developer,https://www.upwork.com/jobs/Back-End-span-class-highlight-Developer-span_~021898357760011746426/?referrer_url_path=/nx/search/jobs/
Single-Page Rent vs. Buy Calculator Development on Dorik,https://www.upwork.com/jobs/Single-Page-Rent-Buy-Calculator-span-class-highlight-Development-span-Dorik_~021898359169856252906/?referrer_url_path=/nx/search/jobs/
WP / CUSTOM SUBMISSION DEV - Magazine For Rollout - Start ASAP - Agencies ONLY,https://www.upwork.com/jobs/CUSTOM-SUBMISSION-DEV-Magazine-For-Rollout-Start-ASAP-Agencies-ONLY_~021898358600798252010/?referrer_url_path=/nx/search/jobs/
Interactive Chat Module Developer for Runtheons Platform,https://www.upwork.com/jobs/Interactive-Chat-Module-span-class-highlight-Developer-span-for-Runtheons-Platform_~021898357069373975530/?referrer_url_path=/nx/search/jobs/
UI/UX Designer with GitHub Implementation Experience for Blockchain Agro Project,https://www.upwork.com/jobs/Designer-with-GitHub-Implementation-Experience-for-Blockchain-Agro-Project_~021898356665932262378/?referrer_url_path=/nx/search/jobs/
"Senior Front-End Developer (React, TypeScript, Vite, Tailwindcss) for Web App (Mobile)",https://www.upwork.com/jobs/Senior-Front-End-span-class-highlight-Developer-span-React-TypeScript-Vite-Tailwindcss-for-Web-App-Mobile_~021898356562938406947/?referrer_url_path=/nx/search/jobs/
Smart Contract Debugging and Testing on BSC Test Network,https://www.upwork.com/jobs/Smart-Contract-Debugging-and-Testing-BSC-Test-Network_~021898310485705040437/?referrer_url_path=/nx/search/jobs/
Custom coded classic WordPress theme with calculator,https://www.upwork.com/jobs/Custom-coded-classic-WordPress-theme-with-calculator_~021898355436075722787/?referrer_url_path=/nx/search/jobs/
Custom platform to Wordpress migration,https://www.upwork.com/jobs/Custom-platform-Wordpress-migration_~021898354949392378858/?referrer_url_path=/nx/search/jobs/
Three.js / react three fiber Developer – 3d medical head,https://www.upwork.com/jobs/Three-react-three-fiber-span-class-highlight-Developer-span-medical-head_~021898352893197237370/?referrer_url_path=/nx/search/jobs/
Expert C# Developer for Revit API Plugin Development (Long-Term Contract),https://www.upwork.com/jobs/Expert-span-class-highlight-Developer-span-for-Revit-API-Plugin-span-class-highlight-Development-span-Long-Term-Contract_~021898352530947783802/?referrer_url_path=/nx/search/jobs/
Python Developer (Fast API + Supabase),https://www.upwork.com/jobs/Python-span-class-highlight-Developer-span-Fast-API-Supabase_~021898352414698454138/?referrer_url_path=/nx/search/jobs/
Custom .svs File Viewer Development for WordPress,https://www.upwork.com/jobs/Custom-svs-File-Viewer-span-class-highlight-Development-span-for-WordPress_~021898352216017249437/?referrer_url_path=/nx/search/jobs/
Looking for Laravel Expert Programmer,https://www.upwork.com/jobs/Looking-for-Laravel-Expert-Programmer_~021898347275805632547/?referrer_url_path=/nx/search/jobs/
